-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2014 through 12/31/2024 in LST
Location: Latitude  56.269   Longitude 9.148 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 36.83 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
PS        MERRA-2 Surface Pressure (kPa) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
YEAR,MO,DY,HR,WD50M,WS50M,PS,T2M,QV2M
2014,1,1,0,169.4,9.38,100.4,2.85,4.2
2014,1,1,1,163.9,8.74,100.33,2.51,4.19
2014,1,1,2,159.5,8.67,100.27,2.24,4.16
2014,1,1,3,155.6,8.53,100.21,1.99,4.13
2014,1,1,4,154.4,8.31,100.16,1.79,4.11
2014,1,1,5,151.9,7.88,100.1,1.55,4.09
2014,1,1,6,150.3,7.65,100.06,1.34,4.05
2014,1,1,7,154.1,7.71,100.04,1.18,4.01
2014,1,1,8,160.1,7.59,100.06,1.01,3.96
2014,1,1,9,165.1,7.48,100.07,0.91,3.92
2014,1,1,10,175.5,7.91,100.08,1.08,3.95
2014,1,1,11,179.8,8.21,100.11,1.58,4.08
2014,1,1,12,183.2,7.57,100.11,2.26,4.31
2014,1,1,13,187.5,7.69,100.1,3.06,4.57
2014,1,1,14,186.9,7.63,100.12,3.65,4.78
2014,1,1,15,183.3,7.88,100.13,3.62,4.85
2014,1,1,16,173.7,7.88,100.11,3.67,4.84
2014,1,1,17,168.9,7.65,100.1,3.6,4.8
2014,1,1,18,160.9,7.34,100.07,3.27,4.7
2014,1,1,19,155.0,7.8,100.04,2.95,4.59
2014,1,1,20,152.5,8.75,100.0,2.73,4.52
2014,1,1,21,147.0,9.24,99.94,2.7,4.51
2014,1,1,22,142.5,9.76,99.86,2.75,4.52
2014,1,1,23,138.4,10.22,99.77,2.69,4.51
2014,1,2,0,135.8,10.64,99.69,2.51,4.46
2014,1,2,1,134.5,11.17,99.61,2.36,4.41
2014,1,2,2,135.1,11.64,99.51,2.31,4.38
2014,1,2,3,136.1,11.95,99.42,2.31,4.38
2014,1,2,4,137.4,12.09,99.32,2.47,4.42
2014,1,2,5,139.7,12.05,99.25,2.63,4.46
2014,1,2,6,142.7,11.87,99.22,2.81,4.51
2014,1,2,7,144.6,11.64,99.18,3.07,4.58
2014,1,2,8,146.5,11.49,99.18,3.33,4.66
2014,1,2,9,148.7,11.3,99.17,3.56,4.73
2014,1,2,10,151.2,10.93,99.17,3.74,4.78
2014,1,2,11,154.0,10.48,99.17,3.76,4.8
2014,1,2,12,157.2,9.84,99.16,3.74,4.8
2014,1,2,13,160.3,9.14,99.15,3.81,4.83
2014,1,2,14,160.5,8.52,99.16,3.96,4.89
2014,1,2,15,159.5,8.08,99.18,4.02,4.93
2014,1,2,16,156.8,7.94,99.19,3.94,4.94
2014,1,2,17,161.4,8.4,99.2,4.03,4.96
2014,1,2,18,164.9,8.3,99.21,4.27,5.04
2014,1,2,19,168.2,8.42,99.23,4.63,5.15
